timestamp,odos_time,odo_fl,odo_fr,odo_bl,odo_br,odo_s_fl,odo_s_fr,odo_s_bl,odo_s_br,odos_last_time,last_odo_fl,last_odo_fr,last_odo_bl,last_odo_br,ori_time,ori_fl,ori_fr,ori_bl,ori_br,ori_s_fl,ori_s_fr,ori_s_bl,ori_s_br,last_ori_time,last_ori_fl,last_ori_fr,last_ori_bl,last_ori_br,radar_time,radar_0,radar_45,radar_90,radar_135,radar_180,radar_225,radar_270,radar_315,radar_s_0,radar_s_45,radar_s_90,radar_s_135,radar_s_180,radar_s_225,radar_s_270,radar_s_315,last_radar_time,last_radar_0,last_radar_45,last_radar_90,last_radar_135,last_radar_180,last_radar_225,last_radar_270,last_radar_315,heading_time,heading,last_heading_time,last_heading,cmd_time,cmd_speed,cmd_angle,cmd_dist,selection
1552045632.2068734,1552045589.592782,10456,25278,0,50625,0,0,64,0,0.0,0,0,0,0,1552045589.705092,163,170,197,190,32,32,32,32,1552045589.652145,163,170,197,190,1552045632.1237328,1439,318,230,315,258,382,914,525,4,0,0,0,0,0,2,0,1552045632.0602736,1472,321,226,320,257,386,806,523,1552045632.16806,359,1552045632.0,359,0.0,0,0,0,Corridor          
1552045632.3076649,1552045589.80572,10456,25278,55376,50625,64,64,0,64,1552045589.592782,10456,25278,0,50625,1552045589.822563,163,170,197,190,32,32,32,32,1552045589.786654,163,170,197,190,1552045632.2537806,1453,319,229,317,258,384,1465,522,4,0,0,0,0,0,4,0,1552045632.1820195,1487,319,226,312,259,382,1366,521,1552045632.2863545,359,1552045632.0,359,0.0,0,0,0,Corridor          
1552045632.4063528,1552045589.80572,10456,25278,55376,50625,64,64,0,64,1552045589.592782,10456,25278,0,50625,1552045589.86227,163,170,197,190,32,32,32,32,1552045589.822563,163,170,197,190,1552045632.3822234,1451,318,228,311,259,383,1093,523,4,0,0,0,0,0,2,0,1552045632.3241408,1460,319,231,315,256,383,1061,523,1552045632.3907337,359,1552045632.0,359,1552045632.305805,100,0,11562,Corridor          
1552045632.5090048,1552045589.994224,10456,25278,55375,50623,0,0,0,0,1552045589.80572,10456,25278,55376,50625,1552045589.952784,163,170,197,190,32,32,32,32,1552045589.86227,163,170,197,190,1552045632.4506752,1476,321,226,313,259,384,1477,523,4,0,0,0,0,0,4,0,1552045632.3822234,1451,318,228,311,259,383,1093,523,1552045632.48524,0,1552045632.0,359,1552045632.4049587,100,0,6798,Corridor          
1552045632.6105175,1552045589.994224,10456,25278,55375,50623,0,0,0,0,1552045589.80572,10456,25278,55376,50625,1552045590.058819,179,179,185,184,32,32,32,32,1552045589.952784,163,170,197,190,1552045632.5854237,1497,322,226,314,265,385,1048,519,4,0,0,0,0,0,2,0,1552045632.521997,1474,324,226,310,259,384,1014,520,1552045632.590358,0,1552045632.0,0,1552045632.5038595,100,0,11835,Corridor          
1552045632.7103837,1552045590.201064,10414,25205,55271,50386,0,0,0,0,1552045589.994224,10456,25278,55375,50623,1552045590.147308,182,180,180,181,32,32,32,32,1552045590.058819,179,179,185,184,1552045632.6595843,1466,321,229,311,268,389,1335,517,4,0,0,0,0,0,2,0,1552045632.5854237,1497,322,226,314,265,385,1048,519,1552045632.69406,0,1552045632.0,0,1552045632.6051214,100,0,13988,Corridor          
1552045632.806331,1552045590.201064,10414,25205,55271,50386,0,0,0,0,1552045589.994224,10456,25278,55375,50623,1552045590.252851,176,179,181,181,32,32,32,32,1552045590.147308,182,180,180,181,1552045632.7942274,1458,332,227,308,296,404,1126,503,4,0,0,0,0,0,2,0,1552045632.7327867,1444,331,227,307,284,396,960,509,1552045632.7959986,0,1552045632.0,0,1552045632.7057118,100,0,6051,Corridor          
1552045632.9085205,1552045590.399914,10001,24665,54707,49722,0,0,0,0,1552045590.201064,10414,25205,55271,50386,1552045590.362589,179,180,180,181,32,32,32,32,1552045590.252851,176,179,181,181,1552045632.8612287,1443,337,228,307,302,423,813,495,4,0,0,0,0,0,2,0,1552045632.7942274,1458,332,227,308,296,404,1126,503,1552045632.902475,1,1552045632.0,0,1552045632.8038275,100,0,5914,Corridor          
1552045633.0063531,1552045590.399914,10001,24665,54707,49722,0,0,0,0,1552045590.201064,10414,25205,55271,50386,1552045590.462804,180,180,181,181,32,32,32,32,1552045590.362589,179,180,180,181,1552045632.9907703,1418,347,226,300,332,456,1274,476,4,0,0,0,0,0,2,0,1552045632.9295578,1433,339,227,301,318,442,796,488,1552045632.9698346,1,1552045632.0,1,1552045632.9057796,100,0,4974,Corridor          
1552045633.1051466,1552045590.574145,9279,23834,53886,48833,0,0,0,0,1552045590.399914,10001,24665,54707,49722,1552045590.556412,179,179,181,181,32,32,32,32,1552045590.462804,180,180,181,181,1552045633.061722,1443,358,232,293,355,471,1395,462,4,0,0,0,0,0,2,0,1552045632.9907703,1418,347,226,300,332,456,1274,476,1552045633.0701392,1,1552045633.0,1,1552045633.005125,100,0,3829,Corridor          
